bearing_id,filename,snapshot_index,rul_cycles,health_indicator,sample_rate_hz,duration_s,dominant_fault
1,bearing1/snapshot_00000.csv.gz,0,19,0.0,12000.0,0.5,outer_race
1,bearing1/snapshot_00001.csv.gz,1,18,0.0019803463913093755,12000.0,0.5,outer_race
1,bearing1/snapshot_00002.csv.gz,2,17,0.004562184784744085,12000.0,0.5,outer_race
1,bearing1/snapshot_00003.csv.gz,3,16,0.007928206769113265,12000.0,0.5,outer_race
1,bearing1/snapshot_00004.csv.gz,4,15,0.01231659297797423,12000.0,0.5,outer_race
1,bearing1/snapshot_00005.csv.gz,5,14,0.018037866816216913,12000.0,0.5,outer_race
1,bearing1/snapshot_00006.csv.gz,6,13,0.025496867180876293,12000.0,0.5,outer_race
1,bearing1/snapshot_00007.csv.gz,7,12,0.03522139497188969,12000.0,0.5,outer_race
1,bearing1/snapshot_00008.csv.gz,8,11,0.04789956042771217,12000.0,0.5,outer_race
1,bearing1/snapshot_00009.csv.gz,9,10,0.06442847399344327,12000.0,0.5,outer_race
1,bearing1/snapshot_00010.csv.gz,10,9,0.08597772610057201,12000.0,0.5,outer_race
1,bearing1/snapshot_00011.csv.gz,11,8,0.11407214770486657,12000.0,0.5,outer_race
1,bearing1/snapshot_00012.csv.gz,12,7,0.15069970774063893,12000.0,0.5,outer_race
1,bearing1/snapshot_00013.csv.gz,13,6,0.19845218234467327,12000.0,0.5,outer_race
1,bearing1/snapshot_00014.csv.gz,14,5,0.26070854964246437,12000.0,0.5,outer_race
1,bearing1/snapshot_00015.csv.gz,15,4,0.34187408716185486,12000.0,0.5,outer_race
1,bearing1/snapshot_00016.csv.gz,16,3,0.4476920904722616,12000.0,0.5,outer_race
1,bearing1/snapshot_00017.csv.gz,17,2,0.5856502703454151,12000.0,0.5,outer_race
1,bearing1/snapshot_00018.csv.gz,18,1,0.7655105852115308,12000.0,0.5,outer_race
1,bearing1/snapshot_00019.csv.gz,19,0,1.0,12000.0,0.5,outer_race
2,bearing2/snapshot_00000.csv.gz,0,19,0.0,12000.0,0.5,outer_race
2,bearing2/snapshot_00001.csv.gz,1,18,0.003979157990739428,12000.0,0.5,outer_race
2,bearing2/snapshot_00002.csv.gz,2,17,0.00892355332212613,12000.0,0.5,outer_race
2,bearing2/snapshot_00003.csv.gz,3,16,0.015067326766139527,12000.0,0.5,outer_race
2,bearing2/snapshot_00004.csv.gz,4,15,0.022701415385986606,12000.0,0.5,outer_race
2,bearing2/snapshot_00005.csv.gz,5,14,0.03218732979783184,12000.0,0.5,outer_race
2,bearing2/snapshot_00006.csv.gz,6,13,0.04397427342786996,12000.0,0.5,outer_race
2,bearing2/snapshot_00007.csv.gz,7,12,0.058620414443459286,12000.0,0.5,outer_race
2,bearing2/snapshot_00008.csv.gz,8,11,0.07681931768601545,12000.0,0.5,outer_race
2,bearing2/snapshot_00009.csv.gz,9,10,0.09943278828413363,12000.0,0.5,outer_race
2,bearing2/snapshot_00010.csv.gz,10,9,0.12753168224913775,12000.0,0.5,outer_race
2,bearing2/snapshot_00011.csv.gz,11,8,0.16244661662998633,12000.0,0.5,outer_race
2,bearing2/snapshot_00012.csv.gz,12,7,0.20583098059595714,12000.0,0.5,outer_race
2,bearing2/snapshot_00013.csv.gz,13,6,0.25973923132330917,12000.0,0.5,outer_race
2,bearing2/snapshot_00014.csv.gz,14,5,0.32672418237070733,12000.0,0.5,outer_race
2,bearing2/snapshot_00015.csv.gz,15,4,0.4099578916133947,12000.0,0.5,outer_race
2,bearing2/snapshot_00016.csv.gz,16,3,0.513381873358102,12000.0,0.5,outer_race
2,bearing2/snapshot_00017.csv.gz,17,2,0.6418937479009198,12000.0,0.5,outer_race
2,bearing2/snapshot_00018.csv.gz,18,1,0.8015791672775915,12000.0,0.5,outer_race
2,bearing2/snapshot_00019.csv.gz,19,0,1.0,12000.0,0.5,outer_race
